Entropy,Energy,Correlation,Contrast,Homogeneity
3.73164800113945,1,0,0,1
4.25548842981649,0.556760204081633,0.781735959970571,0.0892857142857143,0.955357142857143
5.10140976555739,0.361607142857143,0.660261559535159,0.178571428571429,0.910714285714286
4.0076271920092,0.713010204081633,0.844455925049137,0.0714285714285714,0.964285714285714
3.61516889870171,0.897321428571428,0.566755786218474,0.0357142857142857,0.982142857142857
1.40563906222957,1,0,0,1
3.97579882778696,0.360969387755102,0.923730885883328,0.857142857142857,0.761904761904762
5.24016889870171,0.270408163265306,0.936714710897711,0.660714285714286,0.741071428571429
3.9960180720542,0.755102040816326,0,0.142857142857143,0.928571428571428
4.90563906222957,0.466198979591837,0.709201898560929,0.142857142857143,0.928571428571429
4.69142803184603,0.444515306122449,0.744364425461615,0.142857142857143,0.928571428571429
4.52338291462472,1,0,0,1
4.51884394500826,0.802933673469388,0.780392156862745,0.0357142857142857,0.982142857142857
4.44556338350994,0.802933673469388,0.780392156862745,0.0357142857142857,0.982142857142857
4.34092485207213,0.802933673469388,0.780392156862745,0.0357142857142857,0.982142857142857
4.4860335470378,0.618622448979592,0.779175605692278,0.0714285714285714,0.964285714285714
4.60816552469338,0.461734693877551,0.786245393106896,0.107142857142857,0.946428571428571
4.91743417945087,0.518494897959184,0.6752828128151,0.160714285714286,0.919642857142857
3.70866870446728,0.755102040816326,0,0.142857142857143,0.928571428571428
3.34884601128712,1,0,0,1
3.53739482136555,0.897321428571428,0.808901098808947,0.0178571428571429,0.991071428571428
2.75358106709528,1,0,0,1
3.01674028415239,1,0,0,1
3.04301254367311,1,0,0,1
2.914969775059,1,0,0,1
3.24120168539449,1,0,0,1
3.04314464483965,1,0,0,1
3.10881124359616,0.930484693877551,-0.0181818181818182,0.0357142857142857,0.982142857142857
3.2550119432613,0.833545918367347,0.759841095602257,0.0357142857142857,0.982142857142857
3.14395707367192,0.78125,1,0,1
3.39648090264288,0.637117346938776,0.684633023159453,0.0892857142857143,0.955357142857143
3.09498192947078,0.802933673469388,0.780392156862745,0.0357142857142857,0.982142857142857
4.63396996929343,0.512755102040816,0.730296743340221,0.107142857142857,0.946428571428571
4.75548842981649,0.430484693877551,0.74667796789107,0.125,0.9375
4.06204248594768,0.86734693877551,0,0.0714285714285714,0.964285714285714
5.28321401592301,0.420280612244898,0.655322708870016,0.196428571428571,0.901785714285714
4.81733461762952,0.481505102040816,0.721338954240364,0.160714285714286,0.919642857142857
0.974489403398052,1,0,0,1
3.5335287934607,0.531887755102041,0.82776612834033,0.714285714285714,0.833333333333333
5.09313906222957,0.205357142857143,0.917423363634009,0.785714285714286,0.75
2.8713060907694,0.755102040816326,0,0.142857142857143,0.928571428571428
4.46088291462472,0.594387755102041,0.6,0.142857142857143,0.928571428571429
3.60549122112153,1,0,0,1
4.28517803184602,0.693239795918367,0.810643483377777,0.0535714285714286,0.973214285714286
3.93740322948369,0.725127551020408,0.932936423541481,0.0178571428571429,0.991071428571429
4.14994331259519,0.865433673469388,0.857816446918438,0.0178571428571429,0.991071428571429
4.22656318927551,0.439413265306123,0.819891591749923,0.0892857142857143,0.955357142857143
4.50483461762952,0.745535714285714,0.76696498884737,0.0535714285714286,0.973214285714286
4.67197314906733,0.930484693877551,-0.0181818181818182,0.0357142857142857,0.982142857142857
5.3319548827787,0.336734693877551,0.786156348432306,0.285714285714286,0.857142857142857
4.8533737814804,0.274872448979592,0.668868124518435,0.321428571428571,0.839285714285714
4.28517803184602,0.467474489795918,0.858359049884947,0.0714285714285714,0.964285714285714
3.14184735553706,1,0,0,1
3.20434735553706,1,0,0,1
3.23146200387314,1,0,0,1
2.86844311836076,1,0,0,1
3.04090798426242,1,0,0,1
2.65650802452909,1,0,0,1
2.25920665825499,1,0,0,1
2.85239432709426,1,0,0,1
2.47968115891592,1,0,0,1
