Entropy,Energy,Correlation,Contrast,Homogeneity,Encrypt
0.5354612568302618,-1.093809268445637,1.1125488307355171,-0.19008644840952887,-0.40034529523821805,1
0.15784213216275417,0.10141043860445628,1.1115967312240471,-0.43040150839680114,0.5347683674180378,1
0.38572453253169897,0.3753149548034353,-0.9341220982419847,0.13033363157350078,0.015260777053450997,1
-0.9158258942918075,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.12203102382366711,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
0.3098409522709368,-0.4578910909766774,-0.43340296412295504,-0.2101127034084683,-0.3224191566835295,1
1.2031879106878023,-1.3926141952081605,-1.4982303862054385,0.7912000465384994,-2.3874618283827584,1
1.6808977165860435,-1.6550262142239658,0.4178070242531026,2.2731429164600123,-2.5718870229621875,1
0.9678791688382126,-0.8965214001344838,0.5199958751569078,-0.23013895840740756,-0.24449301812884192,1
0.6531918654757911,-0.8639593247821575,-0.46330676225214257,-0.06992891841589267,-0.8679021265663446,1
-0.05744248381260255,0.33892204705671763,0.8440368305103725,-0.43040150839680114,0.5347683674180359,1
-0.7368576383917173,-0.2376182282991761,0.8619356654458394,0.13033363157350078,0.015260777053450997,1
1.308006458613056,-1.1493563381643113,1.3313601559001969,-0.23013895840740756,-0.24449301812884192,1
0.4241360208546922,-0.9099293135148536,0.15235475551484848,-0.19008644840952887,-0.4003452952382171,1
1.317482979271556,-1.5879866473221178,0.8533877594687053,3.394613196400616,-2.1770612542851,1
0.12648326780342473,-0.8256510008382444,0.6044271950511861,-0.27019146840528624,-0.08864074101946676,1
0.6313492200103622,-0.4617219233710687,0.3568385098691741,-0.2902177234042257,-0.010714602464779167,1
0.03883893983937388,0.24889748578852203,0.29015181989376393,-0.39034899839892245,0.3789160903086607,1
-0.7481373545320356,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.6108439086203494,-0.34871236773652453,0.31459185071518425,0.2104386515692583,-0.5042468133111359,1
-0.8194003821442651,0.9020544090322429,-0.9847119295699078,-0.4704540183946799,0.690620644527413,1
1.0024616566275546,-1.021023452952202,1.3822666795809173,1.892644071480164,-0.9692061066874393,1
1.55423652319536,-1.582240398730531,0.9937775856106114,0.39067494655971247,-1.8289911687408287,1
-0.7554018951274621,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.45483433181279026,0.9020544090322429,-0.9847119295699078,-0.4704540183946799,0.690620644527413,1
-0.311370247697611,0.6147419794528929,-1.0381794813971552,-0.41037525339786185,0.4568422288633483,1
-0.49084390928669264,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.922444527559238,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.2700294569907897,-0.7835118444999399,-0.9386463921005792,-0.0699289184158928,-0.8679021265663446,1
1.5143802327981535,-1.7086578677454445,-0.30373327556040136,3.87524331637516,-3.270624732002554,1
-0.1940856035507774,0.4538470188884576,-0.9341220982419847,-0.37032274339998306,0.3009899517539731,1
-0.543315696467139,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.584758846868885,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
0.5684371416601705,0.03245545550541214,-0.7168815174711874,-0.2701914684052864,-0.08864074101946676,1
0.0204912756260145,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-1.028098081609551,0.9020544090322429,1.0153923503258648,-0.49048027339361927,0.7685467830821006,1
-0.8313706581990431,0.7028511245238936,0.8683395022151636,-0.4704540183946799,0.690620644527413,1
0.13763625012279648,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.11564643842316942,0.5151403371987188,1.3451128522661104,-0.4504277633957406,0.6126945059727253,1
0.41284098060499413,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
0.6989273355845049,-0.6954026994289396,1.3852603747929602,-0.029876408418014106,-0.6081483313840526,1
-0.9614019517955773,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.17667733572264138,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
-0.18470905430692602,1.1108347745265694,-0.9341220982419847,-0.5105065283925585,0.8464729216367881,1
1.264886846550438,-1.534354993800639,0.9856428782930913,1.5121452265003161,-1.9406853006692133,1
