Entropy,Energy,Correlation,Contrast,Homogeneity
3.27649503893112,0.575892857142857,0.770845573737519,0.0892857142857143,0.955357142857143
2.49485846573576,1,0,0,1
2.69801911626728,1,0,0,1
2.37776337559181,1,0,0,1
1.56127812445913,1,0,0,1
1.81127812445913,1,0,0,1
1.72531758718556,1,0,0,1
3.03555052774425,1,0,0,1
1.98155816023484,1,0,0,1
2.25281670560673,1,0,0,1
2.38962044288912,1,0,0,1
1.5,1,0,0,1
2.25808226609614,1,0,0,1
2.25,1,0,0,1
0.954434002924965,1,0,0,1
2.96356751906491,1,0,0,1
2.86342508282702,1,0,0,1
1.81127812445913,1,0,0,1
2.27676510422326,1,0,0,1
2.03972797645362,1,0,0,1
1.81127812445913,1,0,0,1
1.81127812445913,1,0,0,1
1,1,0,0,1
1.7717822215998,1,0,0,1
2.40610752876663,1,0,0,1
1.84699332691811,1,0,0,1
2.2699494082885,0.439413265306122,0.72451395196778,0.142857142857143,0.928571428571429
1.83052568741994,1,0,0,1
1.76613192574405,1,0,0,1
2.75631956763525,1,0,0,1
2.59055543690159,1,0,0,1
2.29682400586633,0.594387755102041,0.707106781186547,0.107142857142857,0.946428571428571
3.05139289774768,1,0,0,1
2.08540700641986,1,0,0,1
2.55055193760412,1,0,0,1
2.5508608858589,1,0,0,1
1.87412761699852,1,0,0,1
1.40563906222957,1,0,0,1
2.73684594166706,1,0,0,1
2.71476524575369,1,0,0,1
1,1,0,0,1
-0,1,0,0,1
-0,1,0,0,1
1.40563906222957,1,0,0,1
2.23992128382936,1,0,0,1
2.67908875318449,1,0,0,1
2.02448936866818,1,0,0,1
-0,1,0,0,1
2.71476524575369,1,0,0,1
2.15563906222957,1,0,0,1
2.5,1,0,0,1
2.5,1,0,0,1
1.56127812445913,1,0,0,1
1.81127812445913,1,0,0,1
-0,1,0,0,1
2.3683404475872,1,0,0,1
1.79987590431074,1,0,0,1
2.55271435248034,1,0,0,1
2.72933444110361,1,0,0,1
1.56127812445913,1,0,0,1
-0,1,0,0,1
2.23883990020274,1,0,0,1
2.83690262907187,1,0,0,1
2.15563906222957,0.428571428571429,0.730296743340222,0.142857142857143,0.928571428571428
2,1,0,0,1
1.85714843742837,1,0,0,1
2.31664733333952,1,0,0,1
2.38617073542731,1,0,0,1
1,1,0,0,1
2.22327546434359,1,0,0,1
2.32188478666915,1,0,0,1
2.02448936866818,1,0,0,1
-0,1,0,0,1
1,1,0,0,1
1,1,0,0,1
0.954434002924965,1,0,0,1
-0,1,0,0,1
2.20768384441853,1,0,0,1
2.57388305694761,1,0,0,1
1.90563906222957,1,0,0,1
2.72819036357618,1,0,0,1
1.90563906222957,1,0,0,1
2.52052519314865,1,0,0,1
